,SN,filter,jd,mag,abmag,error,survey
457,PS1-13bit,g_P1,56416.5,-99.9,23.83,0.29,PS1
458,PS1-13bit,g_P1,56421.5,-99.9,22.21,0.06,PS1
459,PS1-13bit,g_P1,56424.5,-99.9,22.27,0.07,PS1
460,PS1-13bit,g_P1,56427.5,-99.9,22.42,0.11,PS1
461,PS1-13bit,g_P1,56443.5,-99.9,23.56,-99.9,PS1
462,PS1-13bit,g_P1,56451.5,-99.9,23.8,-99.9,PS1
463,PS1-13bit,g_P1,56460.5,-99.9,24.0,-99.9,PS1
464,PS1-13bit,r_P1,56416.6,-99.9,23.73,0.21,PS1
465,PS1-13bit,r_P1,56420.6,-99.9,22.36,0.06,PS1
466,PS1-13bit,r_P1,56424.6,-99.9,22.39,0.08,PS1
467,PS1-13bit,r_P1,56427.5,-99.9,22.75,0.15,PS1
468,PS1-13bit,r_P1,56443.5,-99.9,23.89,-99.9,PS1
469,PS1-13bit,r_P1,56450.5,-99.9,23.51,-99.9,PS1
470,PS1-13bit,r_P1,56460.5,-99.9,23.61,-99.9,PS1
471,PS1-13bit,i_P1,56411.5,-99.9,24.0,-99.9,PS1
472,PS1-13bit,i_P1,56414.5,-99.9,24.07,-99.9,PS1
473,PS1-13bit,i_P1,56417.6,-99.9,23.03,0.26,PS1
474,PS1-13bit,i_P1,56420.5,-99.9,22.69,0.08,PS1
475,PS1-13bit,i_P1,56422.5,-99.9,22.39,0.08,PS1
476,PS1-13bit,i_P1,56428.5,-99.9,22.83,0.12,PS1
477,PS1-13bit,i_P1,56432.5,-99.9,22.93,0.1,PS1
478,PS1-13bit,i_P1,56447.5,-99.9,23.93,-99.9,PS1
479,PS1-13bit,i_P1,56450.5,-99.9,23.74,-99.9,PS1
480,PS1-13bit,i_P1,56452.4,-99.9,23.86,-99.9,PS1
481,PS1-13bit,i_P1,56455.4,-99.9,24.17,0.31,PS1
482,PS1-13bit,i_P1,56458.4,-99.9,23.67,-99.9,PS1
483,PS1-13bit,i_P1,56462.4,-99.9,24.24,-99.9,PS1
484,PS1-13bit,z_P1,56412.5,-99.9,23.33,-99.9,PS1
485,PS1-13bit,z_P1,56415.5,-99.9,23.56,-99.9,PS1
486,PS1-13bit,z_P1,56421.5,-99.9,22.66,0.13,PS1
487,PS1-13bit,z_P1,56429.4,-99.9,22.44,-99.9,PS1
488,PS1-13bit,z_P1,56437.5,-99.9,21.16,-99.9,PS1
489,PS1-13bit,z_P1,56442.5,-99.9,23.7,-99.9,PS1
490,PS1-13bit,z_P1,56453.5,-99.9,23.32,-99.9,PS1
491,PS1-13bit,z_P1,56459.3,-99.9,23.5,-99.9,PS1
