,SN,band,jd,absmag,mag,error,survey
365,PS1-10iu,g,55332.4,-99.9,23.92,-99.9,PS1
366,PS1-10iu,g,55335.4,-99.9,23.5,-99.9,PS1
367,PS1-10iu,g,55338.4,-99.9,22.55,-99.9,PS1
368,PS1-10iu,g,55347.4,-99.9,22.77,-99.9,PS1
369,PS1-10iu,g,55350.5,-99.9,23.79,-99.9,PS1
370,PS1-10iu,g,55353.4,-99.9,21.66,0.05,PS1
371,PS1-10iu,g,55362.4,-99.9,21.86,0.11,PS1
372,PS1-10iu,g,55365.3,-99.9,22.36,0.1,PS1
373,PS1-10iu,g,55368.4,-99.9,22.78,0.26,PS1
374,PS1-10iu,g,55377.4,-99.9,23.28,0.34,PS1
375,PS1-10iu,g,55389.3,-99.9,24.08,0.32,PS1
376,PS1-10iu,g,55407.3,-99.9,23.45,-99.9,PS1
377,PS1-10iu,g,55413.3,-99.9,24.12,-99.9,PS1
378,PS1-10iu,g,55416.3,-99.9,23.61,-99.9,PS1
379,PS1-10iu,r,55332.4,-99.9,23.9,-99.9,PS1
380,PS1-10iu,r,55335.4,-99.9,23.14,-99.9,PS1
381,PS1-10iu,r,55347.5,-99.9,23.56,-99.9,PS1
382,PS1-10iu,r,55350.5,-99.9,23.51,-99.9,PS1
383,PS1-10iu,r,55353.4,-99.9,22.07,0.07,PS1
384,PS1-10iu,r,55362.4,-99.9,22.12,0.11,PS1
385,PS1-10iu,r,55365.3,-99.9,22.46,0.11,PS1
386,PS1-10iu,r,55368.4,-99.9,22.7,0.13,PS1
387,PS1-10iu,r,55377.5,-99.9,23.22,0.22,PS1
388,PS1-10iu,r,55389.3,-99.9,23.75,0.29,PS1
389,PS1-10iu,r,55407.4,-99.9,23.83,-99.9,PS1
390,PS1-10iu,r,55416.3,-99.9,23.84,-99.9,PS1
391,PS1-10iu,r,55422.3,-99.9,22.59,-99.9,PS1
392,PS1-10iu,i,55327.6,-99.9,23.88,-99.9,PS1
393,PS1-10iu,i,55330.4,-99.9,23.94,-99.9,PS1
394,PS1-10iu,i,55348.4,-99.9,23.45,-99.9,PS1
395,PS1-10iu,i,55363.5,-99.9,22.51,0.12,PS1
396,PS1-10iu,i,55366.3,-99.9,22.86,0.11,PS1
397,PS1-10iu,i,55378.4,-99.9,23.4,0.19,PS1
398,PS1-10iu,i,55408.3,-99.9,23.26,-99.9,PS1
399,PS1-10iu,i,55411.4,-99.9,23.82,-99.9,PS1
400,PS1-10iu,i,55414.3,-99.9,23.85,-99.9,PS1
401,PS1-10iu,z,55328.6,-99.9,23.04,-99.9,PS1
402,PS1-10iu,z,55337.5,-99.9,23.06,-99.9,PS1
403,PS1-10iu,z,55352.5,-99.9,23.18,0.32,PS1
404,PS1-10iu,z,55358.5,-99.9,21.79,0.17,PS1
405,PS1-10iu,z,55361.4,-99.9,22.8,0.23,PS1
406,PS1-10iu,z,55364.4,-99.9,22.27,0.31,PS1
407,PS1-10iu,z,55367.3,-99.9,23.35,-99.9,PS1
408,PS1-10iu,z,55376.4,-99.9,23.11,-99.9,PS1
409,PS1-10iu,z,55379.3,-99.9,23.4,0.28,PS1
410,PS1-10iu,z,55406.4,-99.9,23.44,-99.9,PS1
411,PS1-10iu,z,55409.3,-99.9,23.03,-99.9,PS1
412,PS1-10iu,z,55412.4,-99.9,23.21,-99.9,PS1
